;Assets $;Market value $;Profits $;Proft_%_Revenues;Revenues $;Total Stockholder Equity $;company
319;6,016;6,633;not available;16.8;8,779;744;HD Supply Holdings
318;11,500;12,847;not available;5.7;8,782;4,554;Cameron International
317;83,532;not available;not available;8.7;8,789;7,127;Thrivent Financial for Lutherans
316;1,077;1,888;not available;0.6;8,858;494;Core-Mark Holding
315;17,412;9,518;not available;11.2;8,895;9,532;Mosaic
314;5,612;2,370;not available;0.2;8,982;817;Univar
313;6,038;not available;not available;2.8;8,992;3,490;Peter Kiewit Sons’
312;28,547;22,974;not available;14.7;9,111;18,788;Corning
311;20,577;16,433;not available;8.2;9,115;7,774;Republic Services
310;13,931;9,341;not available;5.8;9,132;5,754;Fidelity National Financial
309;7,526;10,448;not available;5.0;9,170;3,456;Autoliv
308;25,215;12,111;not available;-4.9;9,190;5,120;MGM Resorts International
307;17,421;63,954;not available;27.7;9,224;8,796;Priceline Group
306;28,881;47,195;not available;13.3;9,248;13,759;PayPal Holdings
305;106,431;1,359;not available;-6.6;9,249;12,824;Genworth Financial
304;27,053;78,237;not available;17.3;9,256;5,919;Celgene
303;6,140;22,914;not available;7.4;9,264;3,998;Hormel Foods
302;7,122;4,972;not available;3.3;9,351;3,914;"Reliance Steel &amp; Aluminum"
301;4,335;3,296;not available;4.3;9,364;2,081;GameStop
300;14,420;10,372;not available;8.5;9,474;5,649;Lennar
299;17,785;27,263;not available;18.2;9,496;6,576;eBay
298;3,840;2,895;not available;1.6;9,499;910;CST Brands
297;158,581;9,043;not available;13.5;9,539;13,439;Ally Financial
296;3,562;851;not available;0.9;9,624;729;Sonic Automotive
295;15,611;10,686;not available;8.8;9,648;3,941;Eastman Chemical
294;15,308;23,949;not available;14.3;9,659;7,613;Applied Materials
293;16,269;104,965;not available;39.4;9,667;6,028;MasterCard
292;8,135;11,757;not available;4.9;9,737;2,461;Advance Auto Parts
291;39,316;22,761;not available;-2.8;9,754;-46;Charter Communications
290;2,778;2,540;not available;1.1;9,773;993;"Owens &amp; Minor"
289;9,634;12,181;not available;7.0;9,785;4,250;Universal Health Services
288;5,833;2,654;not available;4.2;9,787;1,299;Western Refining
287;17,438;31,064;not available;12.9;9,895;7,249;"Air Products &amp; Chemicals"
286;16,247;40,040;not available;14.5;9,946;8,511;Stryker
285;20,975;22,601;not available;9.7;9,968;8,846;Baxter International
284;5,858;14,373;not available;7.7;9,973;2,267;W.W. Grainger
283;21,180;12,308;not available;8.7;9,989;6,787;Liberty Interactive
282;86,936;21,091;not available;23.0;10,002;11,275;Discover Financial Services
281;19,428;not available;not available;15.2;10,056;10,929;Precision Castparts
280;6,692;1,022;not available;-1.8;10,140;-5,167;Navistar International
279;8,102;23,788;not available;11.4;10,187;-1,701;AutoZone
278;41,150;25,931;not available;13.2;10,231;11,809;Sempra Energy
277;26,820;32,158;not available;6.8;10,282;7,164;Becton Dickinson
276;9,820;3,168;not available;0.9;10,299;1,442;Huntsman
275;2,664;459;not available;0.4;10,315;648;Global Partners
274;30,043;4,900;not available;1.4;10,326;4,524;Assurant
273;28,737;16,271;not available;7.0;10,337;8,772;DTE Energy
272;209,947;25,966;not available;20.1;10,346;27,306;"BB&amp;T Corp."
271;37,535;23,874;not available;16.1;10,415;13,066;Public Service Enterprise Group
270;50,383;6,277;not available;4.8;10,418;6,135;Reinsurance Group of America
269;34,260;24,659;not available;14.8;10,511;12,188;Norfolk Southern
268;23,358;4,469;not available;2.6;10,535;2,019;Hertz Global Holdings
267;6,505;14,146;not available;4.5;10,630;2,884;Henry Schein
266;4,415;1,375;not available;0.9;10,633;918;Group 1 Automotive
265;53,224;71,852;not available;30.5;10,675;18,252;Reynolds American
264;60,590;7,385;not available;8.1;10,731;8,664;Unum Group
263;245,192;23,409;not available;18.4;10,760;21,103;State Street Corp.
262;19,505;56,925;not available;33.0;10,764;9,373;Biogen
261;18,319;32,649;not available;14.4;10,776;4,389;Praxair
260;8,239;34,760;not available;10.1;10,780;3,643;Estee Lauder
259;11,151;11,178;not available;6.9;10,824;5,894;D.R. Horton
258;11,018;9,633;not available;5.0;10,856;2,713;CBRE Group
257;1,886;2,457;not available;1.6;10,885;792;Murphy USA
256;39,054;21,226;not available;8.9;11,025;10,601;Xcel Energy
255;15,172;15,771;not available;7.9;11,211;5,812;"Stanley Black &amp; Decker"
254;7,279;3,424;not available;1.3;11,257;683;"R.R. Donnelley &amp; Sons"
253;25,716;22,289;not available;12.5;11,272;5,985;Hilton Worldwide Holdings
252;5,792;26,267;not available;9.3;11,339;868;Sherwin-Williams
251;218,250;6,200;not available;3.6;11,341;13,436;Voya Financial
250;25,357;9,908;not available;4.5;11,381;11,652;WestRock
249;225,261;56,356;not available;29.3;11,401;28,503;BlackRock
248;34,362;11,669;not available;-12.9;11,451;668;First Data
247;33,111;41,038;not available;12.7;11,477;4,809;ADP
246;44,648;14,219;not available;-1.5;11,513;9,257;Entergy
245;50,310;23,423;not available;8.9;11,524;11,368;Edison International
244;12,085;9,186;not available;-2.1;11,554;4,355;L-3 Communications
243;9,190;2,350;not available;-14.2;11,574;2,436;United States Steel
242;58,797;44,826;not available;16.3;11,683;12,664;Dominion Resources
