;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
25;2,144,316;139,603;93,056;256,205;Bank of America Corp.;TRUE;0;43;104;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;50.4;Difficult;290;227;1534;www.bankofamerica.com;42;84;126;0;0;32;0;0;5;2;2;0;41;0.445;6094387;-99.5
26;1,787,632;244,568;90,033;192,998;Wells Fargo;TRUE;0;41;12;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;59;Fairly difficult;346;237;1515;www.wellsfargo.com;25;191;216;0;0;10;0;0;13;11;1;0;35;0.674;14877793;1.4
27;42,549;167,181;88,519;6,316;Home Depot;TRUE;0;28;14;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;65.3;Standard;254;56;723;www.homedepot.com;15;143;158;0;0;8;0;0;42;0;0;0;50;0.038;9311869;5.7
28;1,731,210;122,796;88,275;221,857;Citigroup;TRUE;0;2;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;66.7;Standard;5;4;29;www.citigroup.com;0;4;4;0;0;0;0;0;0;0;0;0;0;0.0;308786;10.4
29;48,58;45,566;87,169;23,1;Phillips 66;TRUE;1;0;0;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;47.8;Difficult;99;81;383;www.phillips66.com;1;80;81;0;0;4;0;0;12;25;0;0;41;1.443;4537979;6.6
30;110,495;145,525;82,461;14,262;IBM;TRUE;0;22;5;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;54.3;Fairly difficult;237;82;672;www.ibm.com;6;35;41;0;0;0;0;0;9;3;0;0;12;0.019;2691650;42.0
31;44,343;30,132;81,824;20,527;Valero Energy;TRUE;0;45;6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;25;Very Confusing;125;113;393;www.valero.com;2;123;125;0;1;2;0;0;8;14;0;0;25;0.416;6905725;2.7
32;61,718;36,325;79,157;23,044;Anthem;TRUE;0;35;4;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;34.5;Difficult;84;76;291;www.antheminc.com;7;71;78;0;0;3;0;0;8;16;0;0;27;0.007;1760723;15.3
33;129,495;222,613;78,756;62,419;"Procter &amp; Gamble";TRUE;0;8;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;n/a;n/a;n/a;n/a;n/a;www.pg.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;1020275;1.0
34;241,183;not available;75,697;82,66;State Farm Insurance Cos.;TRUE;0;47;10;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;46.6;Difficult;321;171;1004;www.statefarm.com;158;21;179;0;0;0;0;0;10;4;2;0;16;0.192;14318540;11.1
35;147,461;525,119;74,989;120,331;Alphabet;TRUE;0;18;2;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;48.5;Difficult;28;5;41;www.google.com;10;33;43;23;0;0;0;0;0;14;0;0;37;0.073;1077820;15.9
36;166,574;149,182;74,51;52,269;Comcast;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;43.8;Difficult;213;149;651;www.comcastcorporation.com;2;172;174;0;0;0;0;0;4;9;0;0;13;0.023;3232550;7.0
37;40,262;49,367;73,785;12,957;Target;TRUE;0;5;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;n/a;n/a;n/a;n/a;n/a;www.target.com;6;23;29;0;0;6;0;0;0;12;0;0;18;0.687;18744;0.6
38;133,411;298,563;70,074;71,15;"Johnson &amp; Johnson";TRUE;0;44;9;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;55.4;Fairly difficult;165;172;929;www.jnj.com;123;46;169;0;0;3;0;0;22;8;1;0;34;0.044;6173607;13.7
39;877,933;48,188;69,951;67,949;MetLife;TRUE;0;23;13;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;41.2;Difficult;265;278;1219;www.metlife.com;68;183;251;0;0;0;0;0;14;23;5;0;42;0.054;9093820;-3.5
40;40,157;21,32;67,702;17,899;Archer Daniels Midland;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;40.1;Difficult;87;69;373;www.adm.com;0;90;90;0;0;1;0;0;5;0;1;0;7;0.058;3868143;3.1
41;43,115;19,677;64,566;13,237;Marathon Petroleum;TRUE;0;25;4;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;22.3;Very Confusing;128;148;404;www.marathonpetroleum.com;15;115;130;0;0;8;0;0;3;10;0;0;21;0.313;1639856;15.1
42;1,986,050;871;63,491;2,94;Freddie Mac;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;56.8;Fairly difficult;127;88;490;www.freddiemac.com;8;94;102;0;0;1;0;0;2;10;28;0;41;0.429;3801225;-35.6
43;69,667;149,753;63,056;11,923;PepsiCo;TRUE;0;30;7;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;47.4;Difficult;223;185;734;www.pepsico.com;11;252;263;0;0;2;0;0;20;29;0;0;51;0.077;8415977;-7.6
44;87,484;83,727;61,047;27,358;United Technologies;TRUE;1;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;41.8;Difficult;271;164;892;www.utc.com;7;213;220;0;0;1;5;5;118;18;1;0;148;0.372;268344;7.2
45;53,424;39,278;60,337;16,114;Aetna;TRUE;0;27;1;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;53.3;Fairly difficult;739;212;1937;www.aetna.com;49;231;280;0;0;3;0;0;12;27;10;0;52;0.59;n/a;10.2
46;31,266;67,981;59,074;7,654;Lowe’s;TRUE;0;78;8;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;59.1;Fairly difficult;24;27;204;www.lowes.com;24;84;108;0;0;4;0;0;0;3;0;0;7;0.028;5146893;5.4
47;38,311;93,277;58,363;2,47;UPS;TRUE;0;7;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-166.8;Very Confusing;11;307;382;www.ups.com;0;6;6;0;0;12;0;0;0;0;0;0;12;0.002;1881526;18.7
48;496,943;61,283;58,327;89,658;AIG;TRUE;0;20;16;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;58.6;Fairly difficult;161;72;435;www.aig.com;14;82;96;0;0;0;0;0;19;8;4;0;31;0.032;4216008;6.1
49;757,388;32,086;57,119;41,89;Prudential Financial;TRUE;0;64;18;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;42.4;Difficult;400;295;1460;www.prudential.com;31;200;231;0;0;13;0;0;9;13;0;0;35;0.466;9808038;10.7
50;103,065;152,821;55,355;61,085;Intel;TRUE;0;1;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;57.9;Fairly difficult;70;57;287;www.intel.com;0;98;98;0;0;0;0;0;0;1;0;0;1;0.005;1465085;6.5
51;24,705;27,263;54,289;10,346;Humana;TRUE;0;11;9;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;39.7;Difficult;248;424;1494;www.humana.com;10;82;92;0;0;0;0;0;3;4;2;0;9;0.073;18807;3.2
52;88,182;162,031;52,465;44,525;Disney;TRUE;0;83;18;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;78.1;Fairly easy;229;106;1021;www.disney.com;196;364;560;0;35;55;968;968;0;129;7;0;2162;0.518;49489796;7.5
53;113,481;143,265;49,161;59,698;Cisco Systems;TRUE;0;4;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;42.4;Difficult;182;151;695;www.cisco.com;23;308;331;0;0;5;1;1;14;0;10;0;31;0.032;5367213;6.7
54;167,46;183,298;48,851;64,72;Pfizer;TRUE;0;32;11;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;28.2;Very Confusing;309;270;912;www.pfizer.com;2;312;314;0;0;3;0;0;11;7;3;0;24;0.202;9313778;7.6
55;68,026;56,816;48,778;25,374;Dow Chemical;TRUE;0;14;2;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;36.3;Difficult;171;173;621;www.dow.com;1;159;160;0;0;0;0;0;0;2;6;0;8;0.025;4049943;0.3
56;17,989;26,384;48,681;5,26;Sysco;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;35.2;Difficult;44;83;314;www.sysco.com;6;32;38;0;0;0;0;0;0;6;0;0;6;0.368;1354054;8.5
57;37,069;43,678;47,453;14,993;FedEx;TRUE;0;8;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-96.5;Very Confusing;49;246;543;www.fedex.com;0;286;286;0;0;3;0;0;0;1;0;0;4;0.03;143339;0.5
58;78,497;44,571;47,011;14,809;Caterpillar;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;n/a;n/a;n/a;n/a;n/a;www.caterpillar.com;1;160;161;0;0;1;0;0;0;0;0;0;1;0.017;3659991;7.3
59;49,128;67,508;46,132;3,097;Lockheed Martin;TRUE;0;18;0;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;24.4;Very Confusing;111;113;348;www.lockheedmartin.com;4;123;127;0;0;1;0;0;12;12;3;0;28;0.67;2074170;-9.6
60;271,668;not available;45,891;19,496;New York Life Insurance;TRUE;0;26;15;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;58.5;Fairly difficult;129;141;688;www.newyorklife.com;4;74;78;0;0;0;0;0;96;0;2;0;98;0.342;4544974;10.1
61;90,093;200,845;44,294;25,554;Coca-Cola;TRUE;0;471;20;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;54.2;Fairly difficult;360;257;1648;www.coca-colacompany.com;5;377;382;0;0;0;15;15;261;159;2;0;452;0.577;20097288;0.5
62;32,744;30,89;43,591;-7,599;HCA Holdings;TRUE;0;18;17;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.hcahealthcare.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-37.6
63;12,307;5,328;43,026;3,968;Ingram Micro;TRUE;0;11;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;52.3;Fairly difficult;5;9;32;www.ingrammicro.com;1;4;5;0;0;1;0;0;1;0;0;0;2;0.0;576396;10.8
64;71,189;7,449;42,126;-932;Energy Transfer Equity;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;60.8;Fairly difficult;3;3;15;www.energytransfer.com;1;139;140;0;0;21;0;0;11;6;2;0;40;0.537;16622;7.4
65;23,004;26,331;41,373;9,691;Tyson Foods;TRUE;1;0;0;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;49.9;Difficult;120;74;314;www.tysonfoods.com;6;120;126;0;0;0;0;0;1;2;0;0;3;0.334;3507608;4.6
66;48,415;24,73;40,99;5,635;American Airlines Group;TRUE;0;13;5;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;66.4;Standard;2;1;10;www.aa.com;5;74;79;0;0;5;0;0;8;10;0;0;23;0.037;4700478;5.9
67;53,134;37,898;40,704;10,85;Delta Air Lines;TRUE;0;2;0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;n/a;n/a;n/a;n/a;n/a;www.delta.com;8;214;222;0;0;18;0;0;7;44;6;0;75;0.225;18197728;8.3
68;185,306;not available;40,222;15,095;Nationwide;TRUE;0;41;6;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;45;Difficult;249;217;907;www.nationwide.com;19;164;183;0;0;15;0;0;35;1;4;0;55;0.525;6184891;12.5
69;29,673;25,262;40,204;10,376;Johnson Controls;TRUE;0;8;0;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;45.2;Difficult;267;443;1975;www.johnsoncontrols.com;13;148;161;0;0;0;0;0;8;8;2;0;18;0.059;7410369;2.5
70;13,519;10,489;39,745;4,378;Best Buy;TRUE;0;91;4;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.bestbuy.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;321706;3.0
71;101,779;146,839;39,498;44,676;Merck;TRUE;0;17;14;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;45.7;Difficult;557;634;2632;www.merck.com;8;659;667;0;0;3;0;0;11;20;7;0;41;0.162;18689;13.9
72;121,707;not available;39,45;19,143;Liberty Mutual Insurance Group;TRUE;0;40;8;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;70.2;Standard;212;115;805;www.libertymutual.com;47;91;138;0;0;1;0;0;7;2;1;0;11;0.033;7606073;2.6
73;861,395;69,253;39,208;86,728;Goldman Sachs Group;TRUE;0;36;7;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;61;Standard;141;146;903;www.gs.com;5;132;137;0;0;1;0;0;13;0;0;0;14;0.023;2787691;0.6
74;49,316;85,308;38,581;18,283;Honeywell International;TRUE;0;160;3;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;21.2;Very Confusing;266;133;432;www.honeywell.com;24;146;170;0;0;5;0;0;110;35;1;0;151;0.154;6625776;0.1
75;266,55;not available;38,243;14,983;Massachusetts Mutual Life Insurance;TRUE;0;35;15;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;49.6;Difficult;164;222;891;www.massmutual.com;3;123;126;0;0;3;0;0;45;123;27;0;198;0.083;6861721;10.3
76;110,903;169,771;38,226;48,663;Oracle;TRUE;0;18;3;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;46.2;Difficult;219;290;1144;www.oracle.com;94;54;148;0;0;0;0;0;76;0;2;0;78;0.037;4046483;3.8
77;787,465;48,984;37,897;75,182;Morgan Stanley;TRUE;0;23;4;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;49.9;Difficult;308;193;1142;www.morganstanley.com;12;145;157;0;0;0;0;0;145;23;0;0;168;0.068;5649066;1.5
78;57,088;35,101;37,876;12,035;Cigna;TRUE;0;134;20;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;121.2;Very easy;1;0;1;www.cigna.com;21;356;377;0;0;2;0;0;5;6;2;0;15;0.488;7742519;9.1
79;40,861;21,519;37,864;8,966;United Continental Holdings;TRUE;1;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;49.7;Difficult;77;57;291;www.unitedcontinentalholdings.com;3;74;77;0;0;0;0;0;5;11;0;0;16;0.53;4550464;5.7
80;104,656;25,486;35,653;20,025;Allstate;TRUE;0;134;191;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;52;Fairly difficult;219;125;709;www.allstate.com;37;167;204;0;0;15;0;0;1;23;77;0;116;0.064;10566943;15.5
81;517,963;not available;35,181;34,736;TIAA;TRUE;0;103;30;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;51;Fairly difficult;515;299;1744;www.tiaa.org;62;255;317;0;0;0;0;0;62;22;3;0;87;0.08;10617528;5.6
82;5,07;503;34,693;397;INTL FCStone;TRUE;0;37;35;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.intlfcstone.com;12;261;273;0;0;0;0;0;7;2;1;0;10;0.587;5742786;-1.2
83;15,228;not available;34,582;7,658;CHS;TRUE;0;31;5;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;46.8;Difficult;234;217;811;www.chsinc.com;6;214;220;0;0;1;0;0;0;0;1;0;2;1.073;13886205;2.3
84;161,184;58,842;34,441;20,673;American Express;TRUE;0;25;3;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;53.5;Fairly difficult;274;172;972;www.americanexpress.com;138;237;375;0;0;26;0;0;1;1;0;0;28;0.042;6371497;6.9
85;51,839;124,437;32,639;18,534;Gilead Sciences;TRUE;0;14;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;52;Fairly difficult;210;181;1145;www.gilead.com;7;140;147;0;0;0;0;0;3;10;4;0;17;0.121;269195;6.6
86;16,359;not available;32,619;12,394;Publix Super Markets;TRUE;0;8;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;67.4;Standard;324;77;975;www.publix.com;0;9;9;0;0;0;0;0;1;1;0;0;2;0.001;239630;-12.1
87;31,997;40,286;31,469;10,738;General Dynamics;TRUE;0;9;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;44.6;Difficult;88;114;452;www.generaldynamics.com;0;65;65;0;0;1;1;0;70;24;1;0;97;0.6;4829332;12.2
88;11,5;51,914;30,945;4,307;TJX;TRUE;0;3;0;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;37.3;Difficult;413;256;1020;www.tjx.com;7;287;294;0;0;0;0;0;26;1;4;0;31;0.576;3663074;13.1
89;97,484;49,869;30,935;39,762;ConocoPhillips;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;41.7;Difficult;241;182;713;www.conocophillips.com;7;135;142;1;0;1;0;0;5;5;2;0;14;0.368;11185259;2.8
90;21,6;104,693;30,601;12,707;Nike;TRUE;0;89;2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.nike.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4558023;6.2
91;4,549;3,44;30,38;1,911;World Fuel Services;TRUE;0;6;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;26;Very Confusing;107;114;331;www.wfscorp.com;29;78;107;0;0;1;1;0;9;9;0;0;20;0.322;3524055;-2.8
92;32,718;100,946;30,274;11,708;3M;TRUE;0;18;1;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;12.7;Very Confusing;236;94;486;www.3m.com;3;152;155;0;0;0;0;0;4;17;0;0;21;0.021;3043647;5.9
93;62,843;62,472;29,636;28,012;Mondelez International;TRUE;0;442;47;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;14.5;Very Confusing;2;1;4;www.mondelezinternational.com;545;197;742;2;2;1;0;0;363;42;301;0;711;0.762;55476065;12.5
94;95,384;33,052;29,447;25,793;Exelon;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;-441.2;Very Confusing;1;4;5;www.exeloncorp.com;3;375;378;0;0;1;0;0;8;34;1;0;44;0.786;16859881;16.2
95;50,051;53,473;28,987;17,22;Twenty-First Century Fox;TRUE;0;19;9;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;30.8;Very Confusing;117;108;324;www.21cf.com;23;96;119;0;0;1;1;0;9;22;0;0;33;0.175;4077689;10.6
96;57,948;24,277;28,863;6,743;Deere;TRUE;0;44;4;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;53.9;Fairly difficult;145;117;579;www.johndeere.com;12;126;138;0;0;12;0;0;17;2;1;0;32;0.112;4355522;9.3
97;16,332;10,311;28,15;5,213;Tesoro;TRUE;1;0;0;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.tsocorp.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3119121;8.1
98;63,848;57,326;28,118;23,619;Time Warner;TRUE;1;0;0;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;46.6;Difficult;54;45;180;www.timewarner.com;0;54;54;0;0;4;1;0;26;49;0;0;80;0.377;3361907;3.6
99;238,472;not available;28,111;19,656;Northwestern Mutual;TRUE;0;41;0;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;32.6;Difficult;143;191;730;www.northwesternmutual.com;29;93;122;0;0;1;0;0;1;13;2;0;17;0.22;4205998;22.3
100;41,166;55,289;27,94;9,993;DuPont;TRUE;0;2;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;39.5;Difficult;199;416;1613;www.dupont.com;2;111;113;0;0;4;0;0;12;31;1;0;48;0.097;6952502;13.5
101;10,8;5,815;27,925;4,685;Avnet;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;37;Difficult;274;161;741;www.avnet.com;18;121;139;0;0;1;0;0;12;43;4;0;60;0.85;89465;2.7
102;20,576;13,746;27,079;4,25;Macy’s;TRUE;0;32;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;43;Difficult;76;52;290;www.macysinc.com;0;75;75;0;0;0;0;0;8;0;0;0;8;0.32;1319896;12.5
