;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
103;48,952;49,764;27,028;20,295;Enterprise Products Partners;TRUE;0;20;8;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;43.8;Difficult;243;236;979;www.enterpriseproducts.com;1;130;131;0;0;2;0;0;5;15;6;0;28;0.517;6597189;9.1
104;100,184;34,427;26,8;23,598;Travelers Cos.;TRUE;0;24;10;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;49.2;Difficult;255;214;919;www.travelers.com;6;184;190;0;0;0;0;0;9;6;0;0;15;0.089;6234687;2.2
105;33,956;152,193;26,794;-13,244;Philip Morris International;TRUE;0;7;1;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;48.5;Difficult;105;134;593;www.pmi.com;10;67;77;0;0;0;0;0;8;3;4;0;15;0.022;9283139;4.6
106;8,863;8,529;26,528;57;Rite Aid;TRUE;0;44;27;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.riteaid.com;36;151;187;0;0;1;1;1;5;18;0;0;26;0.176;6932874;-46.5
107;6,358;2,694;26,38;2,006;Tech Data;TRUE;0;36;10;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;n/a;n/a;n/a;n/a;n/a;www.techdata.com;3;33;36;0;0;0;0;0;9;15;5;0;29;0.066;2792770;2.6
108;37,939;113,314;25,413;7,088;McDonald’s;TRUE;0;89;22;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;14.8;Very Confusing;43;39;147;www.aboutmcdonalds.com;1;94;95;0;0;0;0;0;12;35;1;0;48;0.065;4251458;9.6
109;50,796;76,449;25,281;31,421;Qualcomm;TRUE;0;28;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;48.9;Difficult;146;128;528;www.qualcomm.com;45;81;126;0;0;0;0;0;2;16;0;0;18;0.024;2016286;1.9
110;11,337;1,635;25,146;-1,963;Sears Holdings;TRUE;0;21;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;45.5;Difficult;165;69;388;www.searsholdings.com;5;110;115;0;0;0;0;0;9;11;1;0;21;0.156;1619862;6.9
111;334,048;35,977;25,098;47,284;Capital One Financial;TRUE;0;253;11;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;56.2;Fairly difficult;259;209;1139;www.capitalone.com;160;100;260;0;0;3;1;1;5;18;2;0;30;0.12;11294962;11.9
112;46,612;51,889;24,704;21,14;EMC;TRUE;0;63;5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;57.6;Fairly difficult;279;179;1102;www.emc.com;39;175;214;0;0;0;0;0;30;13;1;0;44;0.049;6182665;-347.4
113;137,077;not available;24,361;27,725;USAA;TRUE;0;3;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;61.1;Standard;18;26;169;www.usaa.com;0;1;1;0;0;0;0;0;0;1;0;0;1;0.005;3908227;0.9
114;121,156;55,572;24,002;39,727;Duke Energy;TRUE;0;414;25;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;71.9;Fairly easy;207;126;803;www.duke-energy.com;47;147;194;0;0;2;0;0;6;2;5;0;15;0.635;9725369;-0.7
115;49,277;57,963;23,697;8,995;Time Warner Cable;TRUE;0;4;1;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;54.4;Fairly difficult;47;30;148;www.twc.com;5;68;73;0;2;0;0;0;1;9;0;0;12;0.717;17768776;11.5
116;36,942;30,66;23,633;15,462;Halliburton;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;17.4;Very Confusing;179;233;919;www.halliburton.com;6;164;170;0;0;7;0;0;1;42;3;0;53;0.78;5229884;4.2
