Range;Company;site;loading.time
196;Office Depot;http://www.officedepot.com;0,081
197;Nordstrom;http://www.nordstrom.com;0,392
198;Kinder Morgan;http://www.kindermorgan.com;0,461
199;Aramark;http://www.aramark.com;0,615
200;DaVita HealthCare Partners;http://www.davita.com;0,517
201;Molina Healthcare;http://www.molinahealthcare.com;0,082
202;WellCare Health Plans;http://www.wellcare.com;0,224
203;CBS;http://www.cbscorporation.com;0,476
204;Visa;http://www.visa.com;0,099
205;Lincoln National;http://www.lfg.com;1,436
206;Ecolab;http://www.ecolab.com;1,139
207;Kellogg;http://www.kelloggcompany.com;0,05
208;C.H. Robinson Worldwide;http://www.chrobinson.com;0,643
209;Textron;http://www.textron.com;0,299
210;Loews;http://www.loews.com;0,131
211;Illinois Tool Works;http://www.itw.com;0,203
212;Synnex;http://www.synnex.com;0
213;Viacom;http://www.viacom.com;0,124
214;HollyFrontier;http://www.hollyfrontier.com;0,367
215;Land O’Lakes;http://www.landolakesinc.com;0,214
216;Devon Energy;http://www.devonenergy.com;0,205
218;Yum Brands;http://www.yum.com;0,926
219;Texas Instruments;http://www.ti.com;0,132
220;CDW;http://www.cdw.com;0,06
221;Waste Management;http://www.wm.com;0,739
222;Marsh & McLennan;http://www.mmc.com;0,223
223;Chesapeake Energy;http://www.chk.com;0,6
224;Parker-Hannifin;http://www.parker.com;0,152
225;Occidental Petroleum;http://www.oxy.com;1,016
226;Guardian Life Ins. Co. of America;http://www.guardianlife.com;0
227;Farmers Insurance Exchange;http://www.farmers.com;0,087
228;J.C. Penney;http://www.jcpenney.com;0,07
229;Consolidated Edison;http://www.conedison.com;0,154
230;Cognizant Technology Solutions;http://www.cognizant.com;0,432
231;VF;http://www.vfc.com;0,214
232;Ameriprise Financial;http://www.ameriprise.com;0,193
233;Computer Sciences;http://www.csc.com;0,107
234;L Brands;http://www.lb.com;0,566
235;Jacobs Engineering Group;http://www.jacobs.com;0,368
236;Principal Financial;http://www.principal.com;0,769
237;Ross Stores;http://www.rossstores.com;0,308
238;Bed Bath & Beyond;http://www.bedbathandbeyond.com;0,195
239;CSX;http://www.csx.com;0,597
240;Toys “R” Us;http://www.toysrusinc.com;0,171
241;Las Vegas Sands;http://www.sands.com;0,006
242;Leucadia National;http://www.leucadia.com;0,144
244;United States Steel;http://www.ussteel.com;0,338
245;L-3 Communications;http://www.l-3com.com;0,33
246;Edison International;http://www.edisoninvestor.com;0,341
247;Entergy;http://www.entergy.com;0,53
248;ADP;http://www.adp.com;1,651
249;First Data;http://www.firstdata.com;0,078
250;BlackRock;http://www.blackrock.com;0,037
251;WestRock;http://www.westrock.com;0,153
252;Voya Financial;http://www.voya.com;0,094
253;Sherwin-Williams;http://www.sherwin.com;0,019
254;Hilton Worldwide Holdings;http://www.hiltonworldwide.com;0,002
255;R.R. Donnelley & Sons;http://www.rrdonnelley.com;1,064
256;Stanley Black & Decker;http://www.stanleyblackanddecker.com;0,318
257;Xcel Energy;http://www.xcelenergy.com;0,415
258;Murphy USA;http://corporate.murphyusa.com;0,166
259;CBRE Group;http://www.cbre.com;0,406
260;D.R. Horton;http://www.drhorton.com;0,858
261;Estee Lauder;http://www.elcompanies.com;0,715
262;Praxair;http://www.praxair.com;0,646
263;Biogen;http://www.biogen.com;1,964
264;State Street Corp.;http://www.statestreet.com;1,392
265;Unum Group;http://www.unum.com;0,139
266;Reynolds American;http://www.reynoldsamerican.com;0,677
267;Group 1 Automotive;http://www.group1auto.com;0,598
268;Henry Schein;http://www.henryschein.com;0,011
269;Hertz Global Holdings;http://www.hertz.com;0,109
270;Norfolk Southern;http://www.nscorp.com;0,78
271;Reinsurance Group of America;http://www.rgare.com;0,744
272;Public Service Enterprise Group;http://www.pseg.com;0,48
273;BB&T Corp.;http://www.bbt.com;0,041
274;DTE Energy;http://www.dteenergy.com;3,276
275;Assurant;http://www.assurant.com;0,378
277;Huntsman;http://www.huntsman.com;0,384
278;Becton Dickinson;http://www.bd.com;0,472
279;Sempra Energy;http://www.sempra.com;0,447
280;AutoZone;http://www.autozone.com;0,17
281;Navistar International;http://www.navistar.com;0,311
