range;company;facebook;twitter;instagram;pinterest;youtube
282;Precision Castparts;NO;NO;NO;NO;NO;
283;Discover Financial Services;NO;NO;NO;NO;NO;
284;Liberty Interactive;NO;NO;NO;NO;NO;
285;W.W. Grainger;YES;YES;YES;NO;YES;
286;Baxter International;YES;YES;NO;NO;YES;
287;Stryker;YES;NO;NO;NO;YES;
288;Air Products & Chemicals;YES;YES;NO;NO;YES;
289;Western Refining;YES;YES;NO;NO;NO;
290;Universal Health Services;YES;YES;NO;NO;YES;
291;Owens & Minor;YES;NO;NO;NO;NO;
292;Charter Communications;YES;YES;NO;NO;YES;
293;Advance Auto Parts;YES;YES;YES;YES;YES;
294;MasterCard;YES;NO;NO;NO;NO;
295;Applied Materials;YES;YES;NO;NO;YES;
296;Eastman Chemical;YES;YES;NO;NO;YES;
297;Sonic Automotive;YES;YES;YES;YES;YES;
298;Ally Financial;YES;YES;NO;NO;YES;
299;CST Brands;NO;NO;NO;NO;NO;
300;eBay;YES;YES;NO;NO;NO;
301;Lennar;YES;YES;YES;YES;YES;
302;GameStop;YES;YES;NO;NO;YES;
303;Reliance Steel & Aluminum;NO;NO;NO;NO;NO;
304;Hormel Foods;YES;YES;YES;YES;YES;
305;Celgene;YES;YES;NO;YES;YES;
306;Genworth Financial;NO;NO;NO;NO;NO;
308;Priceline Group;YES;YES;NO;NO;NO;
309;MGM Resorts International;YES;YES;NO;NO;NO;
310;Autoliv;NO;NO;NO;NO;NO;
312;Republic Services;NO;NO;NO;NO;YES;
313;Corning;YES;YES;NO;NO;YES;
314;Peter Kiewit Sons’;YES;YES;NO;NO;YES;
315;Univar;YES;YES;NO;NO;NO;
316;Mosaic;YES;YES;NO;NO;YES;
317;Core-Mark Holding;YES;YES;NO;NO;YES;
318;Thrivent Financial for Lutherans;YES;YES;NO;YES;NO;
319;Cameron International;NO;YES;NO;NO;NO;
320;HD Supply Holdings;NO;NO;NO;NO;NO;
321;Crown Holdings;NO;NO;NO;NO;NO;
322;EOG Resources;NO;NO;NO;NO;NO;
323;Veritiv;YES;YES;NO;NO;YES;
324;Anadarko Petroleum;YES;NO;YES;NO;YES;
325;Laboratory Corp. of America;NO;NO;NO;NO;NO;
326;Pacific Life;YES;YES;NO;NO;YES;
328;Jarden;YES;YES;YES;NO;YES;
329;SunTrust Banks;YES;YES;NO;NO;YES;
330;Avis Budget Group;NO;NO;NO;NO;NO;
331;Broadcom;YES;YES;NO;YES;YES;
332;American Family Insurance Group;YES;YES;YES;YES;YES;
333;Level 3 Communications;YES;YES;NO;YES;YES;
334;Tenneco;NO;NO;NO;NO;NO;
335;United Natural Foods;YES;YES;NO;NO;YES;
336;Dean Foods;NO;NO;NO;NO;NO;
337;Campbell Soup;YES;YES;NO;NO;NO;
338;Mohawk Industries;NO;NO;NO;NO;NO;
339;BorgWarner;YES;NO;NO;NO;YES;
340;PVH;YES;NO;NO;NO;NO;
341;Ball;YES;YES;YES;YES;NO;
342;O’Reilly Automotive;YES;YES;YES;NO;YES;
343;Eversource Energy;YES;YES;YES;NO;YES;
344;Franklin Resources;NO;NO;NO;NO;NO;
345;Masco;YES;YES;NO;NO;NO;
346;Lithia Motors;YES;YES;YES;NO;YES;
347;KKR;NO;YES;NO;NO;NO;
348;Oneok;YES;YES;NO;NO;NO;
349;Newmont Mining;YES;YES;NO;NO;YES;
