range;company;</title>;</html>;</body>;</div>;</span>;Correct
248;ADP;YES;NO;YES;NO;NO;NO
249;First Data;YES;NO;YES;NO;YES;NO
250;BlackRock;YES;YES;YES;NO;YES;NO
251;WestRock;YES;YES;YES;YES;YES;YES
252;Voya Financial;YES;NO;YES;YES;YES;NO
253;Sherwin-Williams;YES;NO;YES;YES;YES;NO
254;Hilton Worldwide Holdings;YES;YES;YES;YES;YES;YES
255;R.R. Donnelley & Sons;YES;YES;YES;NO;YES;NO
256;Stanley Black & Decker;YES;NO;YES;YES;YES;NO
257;Xcel Energy;YES;NO;YES;YES;YES;NO
258;Murphy USA;YES;NO;YES;YES;YES;NO
259;CBRE Group;YES;YES;YES;YES;YES;YES
260;D.R. Horton;YES;YES;YES;YES;YES;YES
261;Estee Lauder;YES;YES;YES;YES;YES;YES
262;Praxair;YES;NO;YES;YES;YES;NO
263;Biogen;YES;NO;YES;YES;YES;NO
264;State Street Corp.;YES;NO;YES;YES;YES;NO
265;Unum Group;YES;YES;NO;YES;YES;NO
266;Reynolds American;YES;YES;YES;YES;YES;YES
267;Group 1 Automotive;YES;YES;NO;NO;YES;NO
268;Henry Schein;YES;YES;YES;YES;YES;YES
269;Hertz Global Holdings;YES;YES;NO;NO;YES;NO
270;Norfolk Southern;YES;NO;YES;YES;YES;NO
271;Reinsurance Group of America;YES;YES;YES;YES;YES;YES
272;Public Service Enterprise Group;YES;NO;YES;NO;NO;NO
273;BB&T Corp.;YES;NO;YES;YES;YES;NO
274;DTE Energy;YES;YES;YES;NO;YES;NO
275;Assurant;YES;NO;YES;YES;YES;NO
277;Huntsman;YES;YES;NO;YES;YES;NO
278;Becton Dickinson;YES;YES;YES;YES;YES;YES
279;Sempra Energy;YES;YES;YES;YES;NO;NO
280;AutoZone;YES;YES;YES;YES;YES;YES
281;Navistar International;YES;NO;YES;YES;YES;NO
282;Precision Castparts;YES;YES;YES;YES;YES;YES
283;Discover Financial Services;YES;YES;YES;YES;YES;YES
284;Liberty Interactive;YES;YES;YES;YES;YES;YES
285;W.W. Grainger;YES;NO;NO;YES;YES;NO
286;Baxter International;YES;NO;YES;YES;YES;NO
287;Stryker;YES;NO;YES;NO;YES;NO
288;Air Products & Chemicals;YES;YES;YES;YES;YES;YES
289;Western Refining;YES;YES;YES;YES;YES;YES
290;Universal Health Services;YES;NO;YES;YES;YES;NO
291;Owens & Minor;YES;YES;YES;NO;YES;NO
292;Charter Communications;YES;YES;YES;YES;YES;YES
293;Advance Auto Parts;YES;YES;YES;YES;YES;YES
294;MasterCard;YES;YES;YES;YES;YES;YES
295;Applied Materials;YES;YES;YES;YES;YES;YES
296;Eastman Chemical;YES;YES;YES;YES;YES;YES
297;Sonic Automotive;YES;YES;NO;YES;YES;NO
298;Ally Financial;YES;NO;YES;YES;YES;NO
299;CST Brands;YES;YES;YES;NO;YES;NO
300;eBay;YES;NO;YES;YES;NO;NO
301;Lennar;YES;NO;YES;YES;YES;NO
302;GameStop;YES;YES;YES;YES;YES;YES
303;Reliance Steel & Aluminum;YES;NO;YES;NO;YES;NO
304;Hormel Foods;YES;NO;YES;YES;YES;NO
305;Celgene;YES;NO;YES;NO;NO;NO
306;Genworth Financial;YES;YES;YES;YES;YES;YES
308;Priceline Group;YES;NO;YES;NO;NO;NO
309;MGM Resorts International;YES;YES;YES;NO;YES;NO
310;Autoliv;YES;YES;YES;YES;YES;YES
312;Republic Services;YES;NO;YES;YES;YES;NO
313;Corning;YES;NO;YES;NO;YES;NO
314;Peter Kiewit Sons’;YES;YES;YES;NO;YES;NO
315;Univar;YES;YES;YES;YES;YES;YES
316;Mosaic;YES;YES;YES;NO;YES;NO
317;Core-Mark Holding;YES;NO;YES;YES;YES;NO
318;Thrivent Financial for Lutherans;YES;NO;YES;YES;YES;NO
319;Cameron International;YES;NO;YES;YES;YES;NO
320;HD Supply Holdings;YES;YES;YES;NO;YES;NO
321;Crown Holdings;YES;NO;YES;YES;YES;NO
322;EOG Resources;YES;YES;YES;YES;YES;YES
323;Veritiv;YES;YES;YES;YES;YES;YES
324;Anadarko Petroleum;YES;NO;YES;YES;YES;NO
325;Laboratory Corp. of America;YES;YES;YES;NO;YES;NO
326;Pacific Life;YES;YES;YES;YES;YES;YES
328;Jarden;YES;YES;YES;NO;YES;NO
329;SunTrust Banks;YES;YES;NO;YES;YES;NO
330;Avis Budget Group;YES;YES;YES;YES;YES;YES
331;Broadcom;YES;YES;YES;YES;YES;YES
332;American Family Insurance Group;YES;YES;YES;YES;YES;YES
333;Level 3 Communications;YES;NO;YES;YES;YES;NO
334;Tenneco;YES;YES;YES;YES;YES;YES
335;United Natural Foods;YES;YES;YES;YES;YES;YES
336;Dean Foods;YES;NO;YES;YES;YES;NO
337;Campbell Soup;YES;YES;YES;YES;YES;YES
338;Mohawk Industries;YES;YES;YES;YES;YES;YES
339;BorgWarner;YES;YES;YES;YES;YES;YES
340;PVH;YES;NO;YES;YES;YES;NO
341;Ball;YES;YES;YES;YES;YES;YES
342;O’Reilly Automotive;YES;YES;YES;YES;YES;YES
343;Eversource Energy;YES;NO;YES;YES;YES;NO
344;Franklin Resources;YES;YES;YES;YES;YES;YES
345;Masco;YES;NO;YES;YES;YES;NO
346;Lithia Motors;YES;YES;NO;YES;YES;NO
347;KKR;YES;YES;NO;YES;YES;NO
348;Oneok;YES;YES;YES;YES;YES;YES
349;Newmont Mining;YES;YES;YES;NO;YES;NO
350;PPL;YES;NO;YES;YES;YES;NO
351;SpartanNash;YES;YES;YES;YES;YES;YES
352;Quanta Services;YES;NO;YES;YES;YES;NO
353;XPO Logistics;YES;NO;YES;YES;NO;NO
354;Ralph Lauren;YES;YES;NO;YES;YES;NO
355;Interpublic Group;YES;NO;YES;YES;YES;NO
356;Steel Dynamics;YES;YES;YES;YES;YES;YES
357;WESCO International;YES;NO;NO;YES;YES;NO
358;Quest Diagnostics;YES;YES;YES;NO;YES;NO
359;Boston Scientific;YES;NO;YES;NO;YES;NO
360;AGCO;YES;YES;YES;YES;YES;YES
361;Foot Locker;YES;YES;YES;YES;YES;YES
362;Hershey;YES;YES;YES;YES;YES;YES
363;CenterPoint Energy;YES;NO;YES;YES;YES;NO
365;Dick’s Sporting Goods;YES;YES;NO;YES;YES;NO
366;Live Nation Entertainment;YES;YES;YES;YES;YES;YES
367;Mutual of Omaha Insurance;YES;YES;YES;YES;YES;YES
368;W.R. Berkley;YES;YES;YES;YES;YES;YES
369;LKQ;YES;YES;YES;YES;YES;YES
370;Avon Products;YES;YES;YES;YES;YES;YES
371;Darden Restaurants;YES;NO;YES;YES;YES;NO
372;Kindred Healthcare;YES;YES;YES;YES;YES;YES
373;Weyerhaeuser;YES;NO;YES;NO;YES;NO
374;Casey’s General Stores;YES;NO;YES;YES;YES;NO
375;Sealed Air;YES;NO;YES;YES;YES;NO
