range;company;unique_words;
256;Stanley Black & Decker;409;
257;Xcel Energy;246;
258;Murphy USA;148;
259;CBRE Group;480;
260;D.R. Horton;223;
261;Estee Lauder;296;
262;Praxair;401;
263;Biogen;720;
264;State Street Corp.;326;
265;Unum Group;252;
266;Reynolds American;291;
267;Group 1 Automotive;320;
268;Henry Schein;122;
269;Hertz Global Holdings;539;
270;Norfolk Southern;475;
271;Reinsurance Group of America;418;
272;Public Service Enterprise Group;315;
273;BB&T Corp.;413;
274;DTE Energy;300;
275;Assurant;136;
276;Global Partners;136;
277;Huntsman;224;
278;Becton Dickinson;329;
279;Sempra Energy;226;
280;AutoZone;395;
281;Navistar International;402;
282;Precision Castparts;198;
283;Discover Financial Services;8;
284;Liberty Interactive;125;
285;W.W. Grainger;444;
286;Baxter International;292;
287;Stryker;358;
288;Air Products & Chemicals;382;
289;Western Refining;153;
290;Universal Health Services;271;
291;Owens & Minor;383;
292;Charter Communications;457;
293;Advance Auto Parts;491;
294;MasterCard;427;
295;Applied Materials;230;
296;Eastman Chemical;364;
297;Sonic Automotive;440;
298;Ally Financial;215;
299;CST Brands;206;
300;eBay;610;
301;Lennar;510;
302;GameStop;182;
303;Reliance Steel & Aluminum;976;
304;Hormel Foods;243;
305;Celgene;479;
306;Genworth Financial;380;
307;PayPal Holdings;380;
308;Priceline Group;222;
309;MGM Resorts International;209;
310;Autoliv;438;
311;Fidelity National Financial;438;
312;Republic Services;75;
313;Corning;256;
314;Peter Kiewit Sons’;301;
315;Univar;352;
316;Mosaic;248;
317;Core-Mark Holding;225;
318;Thrivent Financial for Lutherans;508;
319;Cameron International;154;
320;HD Supply Holdings;172;
321;Crown Holdings;416;
322;EOG Resources;454;
323;Veritiv;230;
324;Anadarko Petroleum;327;
325;Laboratory Corp. of America;122;
326;Pacific Life;236;
327;News Corp.;236;
328;Jarden;405;
329;SunTrust Banks;339;
330;Avis Budget Group;309;
331;Broadcom;222;
332;American Family Insurance Group;203;
333;Level 3 Communications;298;
334;Tenneco;299;
335;United Natural Foods;253;
336;Dean Foods;148;
337;Campbell Soup;156;
338;Mohawk Industries;182;
339;BorgWarner;264;
340;PVH;181;
341;Ball;370;
342;O’Reilly Automotive;361;
343;Eversource Energy;262;
344;Franklin Resources;289;
345;Masco;279;
346;Lithia Motors;489;
347;KKR;378;
348;Oneok;204;
349;Newmont Mining;501;
350;PPL;160;
351;SpartanNash;176;
352;Quanta Services;179;
353;XPO Logistics;382;
354;Ralph Lauren;450;
355;Interpublic Group;461;
356;Steel Dynamics;171;
357;WESCO International;352;
358;Quest Diagnostics;376;
