range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
317;Core-Mark Holding;www.core-mark.com;0,242;3;0;5;0;0;1;1;0;0;10;405;225;71;9;62;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,242
318;Thrivent Financial for Lutherans;www.thrivent.com;0,362;7;0;22;0;0;0;5;17;0;51;1153;508;161;31;130;YES;NO;YES;YES;YES;NO;YES;YES;NO;YES;NO;0,362
319;Cameron International;www.c-a-m.com;0,097;5;0;0;0;0;0;0;0;0;5;358;154;74;4;70;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;NO;0,097
320;HD Supply Holdings;www.hdsupply.com;0,016;17;0;0;0;0;0;0;0;0;17;364;172;80;0;80;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,016
321;Crown Holdings;www.crowncork.com;0,703;18;0;12;0;0;1;1;0;0;32;773;416;210;1;209;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,703
322;EOG Resources;www.eogresources.com;0,454;12;0;1;0;0;0;23;10;0;46;825;454;82;0;82;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,454
323;Veritiv;www.veritivcorp.com;0,236;3;0;9;0;0;0;0;1;0;13;472;230;78;2;76;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,236
324;Anadarko Petroleum;www.anadarko.com;0,535;23;0;17;0;0;0;0;2;0;42;792;327;347;4;343;YES;NO;YES;YES;YES;NO;YES;NO;YES;NO;YES;0,535
325;Laboratory Corp. of America;www.labcorp.com;0,507;0;0;23;0;1;0;44;4;0;72;470;122;58;9;49;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,507
326;Pacific Life;www.pacificlife.com;0,245;12;0;12;0;0;0;0;3;0;27;512;236;77;3;74;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,245
328;Jarden;www.jarden.com;0,143;2;0;2;0;0;0;3;1;0;8;788;405;85;4;81;YES;YES;YES;NO;YES;NO;YES;YES;YES;NO;YES;0,143
329;SunTrust Banks;www.suntrust.com;0,289;20;0;8;0;0;0;0;2;0;30;956;339;669;40;629;YES;YES;NO;YES;YES;NO;YES;YES;NO;NO;YES;0,289
330;Avis Budget Group;www.avisbudgetgroup.com;0,187;12;0;3;0;0;0;0;2;0;17;533;309;111;3;108;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,187
331;Broadcom;www.broadcom.com;0,454;20;0;4;0;0;0;0;0;0;24;528;222;138;9;129;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;YES;0,454
332;American Family Insurance Group;www.amfam.com;0,523;5;0;17;0;0;0;0;26;0;48;664;203;158;93;65;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,523
333;Level 3 Communications;www.level3.com;0,814;15;0;21;0;0;0;0;0;0;36;653;298;188;6;182;YES;NO;YES;YES;YES;NO;YES;YES;NO;YES;YES;0,814
334;Tenneco;www.tenneco.com;0,452;4;1;17;0;0;0;4;4;0;30;548;299;113;1;112;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,452
335;United Natural Foods;www.unfi.com;0,687;26;0;58;0;0;1;1;1;0;87;796;253;132;44;88;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,687
336;Dean Foods;www.deanfoods.com;0,324;37;0;4;0;0;0;0;0;0;41;294;148;76;2;74;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,324
337;Campbell Soup;www.campbellsoupcompany.com;1,084;65;0;16;0;0;0;0;0;0;81;492;156;151;6;145;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;1,084
338;Mohawk Industries;www.mohawkind.com;0,517;3;0;11;0;0;0;6;5;0;25;402;182;83;1;82;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,517
339;BorgWarner;www.borgwarner.com;0,242;6;0;13;0;0;0;3;0;0;22;563;264;85;5;80;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;YES;0,242
340;PVH;www.pvh.com;0,075;0;0;0;0;0;0;0;0;0;0;401;181;94;2;92;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;NO;0,075
341;Ball;www.ball.com;0,499;1;0;4;0;0;0;0;0;0;5;632;370;119;5;114;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;0,499
342;O’Reilly Automotive;www.oreillyauto.com;0,566;2;0;8;0;0;0;11;15;0;36;848;361;255;2;253;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,566
343;Eversource Energy;www.eversource.com;0,129;10;0;13;0;0;0;0;0;0;23;693;262;168;8;160;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,129
344;Franklin Resources;www.franklinresources.com;0,059;1;0;0;0;0;0;5;1;0;7;554;289;118;0;118;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,059
345;Masco;www.masco.com;0,016;11;0;13;0;0;0;3;1;0;28;519;279;81;1;80;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;0,016
346;Lithia Motors;www.lithia.com;0,34;3;0;15;0;0;0;1;21;0;40;1223;489;186;7;179;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;YES;0,34
347;KKR;www.kkr.com;0,263;4;0;8;0;0;0;0;3;0;15;738;378;150;18;132;YES;YES;NO;YES;YES;NO;NO;YES;NO;NO;NO;0,263
348;Oneok;www.oneok.com;0,347;0;0;0;0;0;0;1;0;0;1;348;204;71;0;71;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,347
349;Newmont Mining;www.newmont.com;0,588;13;0;5;0;0;1;1;1;0;21;974;501;418;6;412;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,588
350;PPL;www.pplweb.com;0,023;12;0;9;0;0;0;0;2;0;23;503;160;113;76;37;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;YES;0,023
351;SpartanNash;www.spartannash.com;0,316;7;0;11;0;0;0;0;1;0;19;555;176;292;206;86;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,316
352;Quanta Services;www.quantaservices.com;0,182;0;0;13;0;0;0;0;0;0;13;442;179;45;7;38;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;YES;0,182
353;XPO Logistics;www.xpo.com;0,026;6;0;12;0;0;1;2;6;0;27;750;382;124;3;121;YES;NO;YES;YES;NO;NO;YES;YES;NO;NO;YES;0,026
354;Ralph Lauren;www.ralphlauren.com;0,043;7;0;7;0;0;0;10;10;0;34;894;450;182;2;180;YES;YES;NO;YES;YES;NO;YES;YES;NO;YES;NO;0,043
355;Interpublic Group;www.interpublic.com;0,626;5;0;45;0;0;0;0;3;0;53;778;461;111;1;110;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;0,626
356;Steel Dynamics;www.steeldynamics.com;0,188;2;0;11;0;0;0;0;0;0;13;384;171;94;0;94;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,188
357;WESCO International;www.wesco.com;0,01;5;0;9;0;0;0;0;0;0;14;633;352;47;7;40;YES;NO;NO;YES;YES;NO;NO;NO;NO;NO;NO;0,01
358;Quest Diagnostics;www.questdiagnostics.com;0,098;3;0;6;0;0;0;1;10;0;20;718;376;168;23;145;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,098
359;Boston Scientific;www.bostonscientific.com;0,333;190;0;6;0;0;0;7;283;0;486;1026;264;326;6;320;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,333
360;AGCO;www.agcocorp.com;0,165;20;0;18;0;0;0;0;0;0;38;718;291;182;12;170;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,165
361;Foot Locker;www.footlocker-inc.com;0;0;0;1;0;0;0;2;0;0;3;211;128;41;1;40;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
362;Hershey;www.thehersheycompany.com;0,133;21;0;26;0;0;0;1;1;0;49;618;286;128;8;120;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,133
363;CenterPoint Energy;www.centerpointenergy.com;0,079;5;0;0;0;0;0;2;4;0;11;553;205;45;4;41;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,079
365;Dick’s Sporting Goods;www.dickssportinggoods.com;0,093;14;0;1;0;0;0;1;1;0;17;759;271;389;7;382;YES;YES;NO;YES;YES;NO;YES;YES;NO;YES;YES;0,093
366;Live Nation Entertainment;www.livenation.com;0,082;4;0;0;0;0;0;1;1;0;6;493;269;25;1;24;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,082
367;Mutual of Omaha Insurance;www.mutualofomaha.com;0,458;5;0;3;0;0;0;16;2;0;26;799;418;159;23;136;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,458
368;W.R. Berkley;www.wrberkley.com;0,115;13;0;9;0;0;0;0;1;0;23;396;160;91;5;86;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,115
369;LKQ;www.lkqcorp.com;0,768;9;0;9;0;0;1;7;6;0;32;1149;618;244;5;239;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;0,768
370;Avon Products;www.avoncompany.com;0,148;1;0;7;0;0;0;1;1;0;10;336;204;60;0;60;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,148
371;Darden Restaurants;www.darden.com;0,416;8;0;0;0;0;0;8;2;0;18;600;288;138;19;119;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;YES;0,416
372;Kindred Healthcare;www.kindredhealthcare.com;0,539;15;0;11;0;0;0;11;1;0;38;650;363;91;1;90;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;YES;0,539
373;Weyerhaeuser;www.weyerhaeuser.com;0,772;16;0;4;0;0;0;0;34;0;54;1035;300;553;12;541;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,772
374;Casey’s General Stores;www.caseys.com;0,193;11;0;12;0;0;0;1;1;0;25;622;256;162;15;147;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,193
375;Sealed Air;www.sealedair.com;0,216;7;0;9;0;0;0;1;0;0;17;692;304;124;21;103;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,216
376;Fifth Third Bancorp;www.53.com;0,366;4;0;6;0;0;0;0;0;0;10;931;389;280;7;273;YES;NO;NO;NO;YES;NO;YES;YES;NO;NO;YES;0,366
377;Dover;www.dovercorporation.com;0,52;5;0;13;0;0;0;5;12;0;35;537;249;75;0;75;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;0,52
378;Huntington Ingalls Industries;www.huntingtoningalls.com;0,339;23;0;12;0;0;0;1;2;0;38;758;220;280;14;266;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,339
379;Netflix;www.netflix.com;0,963;321;0;28;12;0;12;14;27;0;414;2059;669;190;150;40;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,963
380;Dillard’s;www.dillards.com;0,17;11;0;15;0;0;0;3;0;0;29;667;247;137;10;127;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,17
381;EMCOR Group;www.emcorgroup.com;0,263;22;0;5;0;0;0;0;0;0;27;632;380;99;2;97;YES;NO;YES;NO;YES;NO;YES;NO;NO;NO;YES;0,263
382;Jones Financial;www.edwardjones.com;0,475;24;0;4;0;0;0;0;0;0;28;666;314;113;11;102;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,475
383;AK Steel Holding;www.aksteel.com;0,171;0;0;14;0;0;0;2;0;0;16;367;246;67;3;64;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,171
384;UGI;www.ugicorp.com;0,242;14;0;15;0;0;0;0;5;0;34;680;330;141;6;135;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,242
385;Expedia;www.expediainc.com;0,68;37;0;13;0;0;0;1;34;0;85;866;362;143;2;141;YES;YES;YES;NO;NO;NO;NO;YES;NO;NO;YES;0,68
386;salesforce.com;www.salesforce.com;0,488;12;0;2;1;0;1;4;9;0;29;830;332;264;32;232;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,488
387;Targa Resources;www.targaresources.com;0,215;4;0;6;0;0;0;0;0;0;10;195;95;37;1;36;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,215
388;Apache;www.apachecorp.com;0,006;0;0;0;0;0;0;0;0;0;0;216;187;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,006
389;Spirit AeroSystems Holdings;www.spiritaero.com;0,519;9;0;15;0;0;0;11;9;0;44;689;232;248;15;233;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;YES;0,519
390;Expeditors International of Washington;www.expeditors.com;0,481;24;0;7;0;0;0;1;0;0;32;686;348;121;14;107;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,481
391;Anixter International;www.anixter.com;0,56;24;0;42;0;0;0;1;33;0;100;1179;582;728;163;565;YES;NO;NO;NO;NO;NO;YES;YES;NO;NO;YES;0,56
392;Fidelity National Information Services;www.fisglobal.com;0,946;26;0;5;0;0;0;1;1;0;33;1343;626;479;6;473;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,946
393;Asbury Automotive Group;www.asburyauto.com;0,006;1;0;0;0;0;0;0;0;0;1;322;208;37;4;33;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,006
394;Hess;www.hess.com;0,641;0;0;8;0;0;0;2;1;0;11;876;434;76;4;72;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,641
395;Ryder System;www.ryder.com;0,954;17;0;34;0;0;0;0;2;0;53;987;453;260;5;255;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,954
396;Terex;www.terex.com;0;0;0;1;0;0;0;0;0;0;1;187;118;20;0;20;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
397;Coca-Cola European Partners;www.cokecce.com;0,146;20;0;31;0;0;0;12;0;0;63;649;324;84;4;80;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;YES;0,146
399;Cablevision Systems;www.cablevision.com;0,503;8;0;5;0;0;0;0;4;0;17;546;227;67;0;67;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,503
400;Symantec;www.symantec.com;0,188;29;0;0;0;0;0;0;16;0;45;697;298;163;39;124;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,188
401;Charles Schwab;www.aboutschwab.com;0,179;2;0;21;0;0;0;1;0;0;24;799;434;55;3;52;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,179
402;Calpine;www.calpine.com;0,531;2;1;6;0;0;0;0;2;0;11;799;468;115;6;109;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,531
403;CMS Energy;www.cmsenergy.com;0,385;6;0;8;0;0;0;2;1;0;17;993;503;281;5;276;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;0,385
404;Alliance Data Systems;www.alliancedata.com;0,306;17;0;30;10;0;10;0;0;0;67;801;448;68;25;43;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,306
405;JetBlue Airways;www.jetblue.com;0,154;56;0;11;0;1;0;6;3;0;77;1405;591;188;7;181;YES;NO;YES;NO;YES;NO;YES;YES;YES;NO;YES;0,154
406;Discovery Communications;www.discoverycommunications.com;0,316;209;0;27;4;0;4;1;0;0;245;825;382;179;70;109;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,316
407;Trinity Industries;www.trin.net;0,224;2;0;17;0;0;0;124;0;0;143;220;108;9;2;7;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,224
408;Sanmina;www.sanmina.com;0,001;0;0;0;0;0;0;0;0;0;0;71;26;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,001
409;NCR;www.ncr.com;0,339;7;0;30;0;0;0;0;0;0;37;492;211;110;21;89;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,339
410;FMC Technologies;www.fmctechnologies.com;0,549;6;0;1;0;0;0;16;1;0;24;472;257;157;10;147;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,549
411;Erie Insurance Group;www.erieinsurance.com;0,504;13;0;1;0;0;0;3;6;0;23;529;199;105;19;86;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;0,504
412;Rockwell Automation;www.rockwellautomation.com;0,158;0;0;15;0;0;0;0;6;0;21;1034;316;230;17;213;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,158
413;Dr Pepper Snapple Group;www.drpeppersnapplegroup.com;0,212;95;0;9;0;0;0;0;3;0;107;620;284;183;12;171;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,212
414;iHeartMedia;www.iheartmedia.com;0,594;9;2;2;0;0;0;1;1;0;15;508;259;54;2;52;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,594
416;J.B. Hunt Transport Services;www.jbhunt.com;0,388;4;0;0;0;0;0;1;4;0;9;483;275;75;5;70;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,388
418;Owens-Illinois;www.o-i.com;0,294;0;0;2;0;0;0;0;0;0;2;227;66;51;0;51;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,294
419;Harman International Industries;www.harman.com;0,532;52;0;52;4;0;4;0;0;0;112;813;281;180;21;159;YES;YES;YES;NO;NO;NO;YES;YES;NO;YES;YES;0,532
420;Baxalta;www.baxalta.com;0,511;20;0;2;0;0;0;0;0;0;22;573;247;137;2;135;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;YES;0,511
421;American Financial Group;www.afginc.com;0,012;10;0;4;0;0;0;8;0;0;22;432;237;101;0;101;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,012
422;NetApp;www.netapp.com;0,075;8;0;5;0;0;0;0;4;0;17;650;311;248;5;243;NO;YES;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,075
423;Graybar Electric;www.graybar.com;0,945;9;0;0;0;0;0;0;14;0;23;299;152;34;1;33;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,945
424;Oshkosh;www.oshkoshcorporation.com;0,002;1;0;1;0;0;0;46;0;0;48;247;99;23;3;20;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,002
425;Ameren;www.ameren.com;0,519;47;0;0;0;0;0;0;0;0;47;550;311;127;35;92;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,519
426;A-Mark Precious Metals;www.amark.com;0,72;33;0;5;0;0;0;1;0;0;39;538;288;76;0;76;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,72
427;Barnes & Noble;www.barnesandnobleinc.com;0,3;0;0;7;0;0;0;81;0;0;88;225;112;37;0;37;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,3
428;Dana Holding;www.dana.com;0,15;7;0;4;0;0;0;0;0;0;11;323;176;47;0;47;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,15
429;Constellation Brands;www.cbrands.com;0,006;3;0;0;0;0;1;1;0;0;5;392;229;59;0;59;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,006
430;LifePoint Health;www.lifepointhealth.net;0,008;2;0;2;0;0;0;0;0;0;4;428;248;76;1;75;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,008
431;Zimmer Biomet Holdings;www.zimmerbiomet.com;0,023;6;0;0;0;0;0;0;0;0;6;364;154;50;3;47;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,023
432;Harley-Davidson;www.harley-davidson.com;0,161;77;0;19;0;0;0;2;8;0;106;433;147;177;3;174;YES;NO;YES;NO;YES;NO;NO;YES;NO;NO;NO;0,161
433;PulteGroup;www.pultegroupinc.com;0,025;6;0;7;0;0;0;2;0;0;15;645;357;140;1;139;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,025
434;Newell Brands;www.newellbrands.com;0,143;2;0;2;0;0;0;3;1;0;8;787;404;85;4;81;YES;YES;YES;NO;YES;NO;YES;YES;YES;NO;YES;0,143
435;Avery Dennison;www.averydennison.com;0,092;24;0;30;0;0;0;0;0;0;54;907;413;171;11;160;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,092
436;Jones Lang LaSalle;www.jll.com;0,226;22;0;18;0;0;0;1;6;0;47;1564;649;173;4;169;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,226
437;WEC Energy Group;www.wecenergygroup.com;0,184;5;0;9;0;0;0;1;0;0;15;350;171;55;3;52;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;YES;0,184
438;Marathon Oil;www.marathonoil.com;0,347;15;0;7;0;0;0;14;0;0;36;517;231;152;1;151;YES;NO;YES;NO;YES;NO;NO;YES;YES;NO;YES;0,347
439;TravelCenters of America;www.ta-petrol.com;0,195;5;0;3;0;0;0;4;0;0;12;253;127;4;0;4;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,195
440;United Rentals;www.unitedrentals.com;0,484;15;0;28;0;0;0;0;10;0;53;914;410;260;25;235;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,484
441;HRG Group;www.hrggroup.com;0,001;2;0;8;0;0;0;0;0;0;10;244;145;28;1;27;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,001
443;Windstream Holdings;www.windstream.com;0,781;9;1;0;0;0;0;3;5;1;19;1825;997;66;5;61;YES;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,781
444;Starwood Hotels & Resorts;www.starwoodhotels.com;0,001;0;0;0;0;0;0;0;1;0;1;240;129;26;0;26;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,001
445;Delek US Holdings;www.delekus.com;0,003;5;0;9;0;0;1;1;0;0;16;342;165;28;0;28;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,003
446;Packaging Corp. of America;www.packagingcorp.com;0,948;4;0;15;0;0;0;0;0;0;19;1080;196;612;6;606;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,948
447;Quintiles Transnational Holdings;www.quintiles.com;0,559;11;0;2;0;0;0;1;3;0;17;775;402;203;9;194;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,559
448;Hanesbrands;www.hanes.com;0,239;29;0;26;0;0;0;5;53;0;113;1009;368;425;4;421;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,239
449;Realogy Holdings;www.realogy.com;0,031;7;0;36;0;0;0;3;5;0;51;462;239;98;4;94;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,031
450;Mattel;www.mattel.com;0,109;132;1;170;2;0;2;4;4;0;315;1192;625;194;0;194;YES;YES;YES;NO;YES;NO;NO;NO;NO;NO;NO;0,109
451;Motorola Solutions;www.motorolasolutions.com;0,11;0;0;6;0;0;0;0;0;0;6;429;265;179;0;179;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,11
452;J.M. Smucker;www.jmsmucker.com;0,319;2;0;11;0;0;0;0;1;0;14;416;238;72;1;71;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,319
453;Regions Financial;www.regions.com;0,692;1;0;0;0;0;0;0;0;0;1;760;192;274;93;181;YES;NO;YES;YES;YES;NO;YES;YES;NO;YES;NO;0,692
453;Celanese;www.celanese.com;0,692;1;0;0;0;0;0;0;0;0;1;760;192;274;93;181;YES;NO;YES;YES;YES;NO;YES;YES;NO;YES;NO;0,692
455;Clorox;www.thecloroxcompany.com;0,896;6;0;25;0;0;0;0;2;0;33;695;293;166;134;32;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,896
456;Ingredion;www.ingredion.com;0,224;2;0;0;0;0;0;0;0;0;2;364;186;40;0;40;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,224
457;Genesis Healthcare;www.genesishcc.com;0,513;9;0;15;0;0;0;1;1;0;26;951;569;81;0;81;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,513
458;Peabody Energy;www.peabodyenergy.com;0,569;35;0;10;0;0;0;0;0;0;45;905;354;227;9;218;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,569
459;Alaska Air Group;www.alaskaair.com;0,963;2;0;4;0;0;0;30;22;0;58;1251;336;480;40;440;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;YES;0,963
460;Seaboard;www.seaboardcorp.com;0,008;9;0;28;0;0;0;2;3;0;42;444;211;58;29;29;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,008
461;Frontier Communications;www.frontier.com;0,403;0;0;1;0;0;0;2;3;0;6;785;325;201;31;170;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,403
462;Amphenol;www.amphenol.com;0,007;2;0;10;0;0;0;3;0;0;15;298;167;66;0;66;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,007
463;Lansing Trade Group;www.lansingtradegroup.com;0,168;9;0;33;0;0;0;1;5;0;48;515;274;78;4;74;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,168
464;SanDisk;www.sandisk.com;0,001;0;0;0;0;0;0;0;0;0;0;234;194;0;0;0;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,001
466;Wyndham Worldwide;www.wyndhamworldwide.com;0,307;10;0;49;0;0;1;2;0;0;62;615;306;140;2;138;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,307
467;Kelly Services;www.kellyservices.com;0,649;14;0;1;0;0;0;3;1;0;19;542;190;212;4;208;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;YES;0,649
468;Western Union;www.westernunion.com;0,061;1;0;2;0;0;0;0;2;0;5;566;197;93;3;90;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,061
469;Envision Healthcare Holdings;www.evhc.net;0,425;2;0;4;0;0;0;0;0;0;6;632;355;113;0;113;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,425
470;Visteon;www.visteon.com;0,799;7;0;25;0;0;0;3;0;0;35;758;492;106;7;99;YES;YES;YES;NO;NO;NO;YES;YES;YES;NO;YES;0,799
471;Arthur J. Gallagher;www.ajg.com;0,243;9;0;32;3;0;3;0;0;0;47;620;219;195;1;194;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;0,243
472;Host Hotels & Resorts;www.hosthotels.com;2,529;0;0;0;0;0;0;0;2;0;2;598;299;70;6;64;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;2,529
472;Ashland;www.ashland.com;2,529;0;0;0;0;0;0;0;2;0;2;598;299;70;6;64;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;2,529
474;Insight Enterprises;www.insight.com;0,239;9;0;3;0;0;0;4;18;0;34;1094;441;342;3;339;YES;NO;NO;YES;YES;NO;YES;YES;NO;NO;YES;0,239
475;Energy Future Holdings;www.energyfutureholdings.com;0,185;6;0;5;0;0;0;2;0;0;13;642;353;84;62;22;YES;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;0,185
